uni_lemma;lexical_class;aoa
all gone;adjectives;19.333333333333332
angry;adjectives;28.0
asleep;adjectives;24.0
awake;adjectives;26.0
bad;adjectives;26.666666666666668
better;adjectives;26.0
big;adjectives;24.0
black;adjectives;27.0
blue;adjectives;23.666666666666668
broken;adjectives;24.0
brown;adjectives;28.0
careful;adjectives;25.666666666666668
clean;adjectives;22.666666666666668
cold;adjectives;23.0
cute;adjectives;26.5
dark;adjectives;25.0
dirty;adjectives;23.666666666666668
dry;adjectives;25.0
easy;adjectives;27.0
empty;adjectives;25.0
fast;adjectives;25.0
fine;adjectives;28.0
first;adjectives;28.0
full;adjectives;25.5
gentle;adjectives;25.666666666666668
good;adjectives;25.666666666666668
green;adjectives;25.0
happy;adjectives;24.333333333333332
hard;adjectives;26.666666666666668
heavy;adjectives;26.0
high;adjectives;26.0
hot;adjectives;23.333333333333332
hungry;adjectives;25.666666666666668
hurt;adjectives;25.666666666666668
little;adjectives;25.25
long;adjectives;30.0
loud;adjectives;25.5
mad;adjectives;28.0
naughty;adjectives;25.5
new;adjectives;23.5
nice;adjectives;25.0
noisy;adjectives;28.0
old;adjectives;29.0
orange;adjectives;25.0
pretty;adjectives;25.333333333333332
quiet;adjectives;26.0
red;adjectives;23.5
sad;adjectives;26.333333333333332
scared;adjectives;26.0
sick;adjectives;26.666666666666668
sleepy;adjectives;27.0
slow;adjectives;26.5
soft;adjectives;26.5
sticky;adjectives;25.0
stuck;adjectives;25.0
tasty;adjectives;25.0
thirsty;adjectives;25.333333333333332
tiny;adjectives;30.0
tired;adjectives;25.666666666666668
wet;adjectives;23.666666666666668
white;adjectives;26.5
windy;adjectives;27.0
yellow;adjectives;24.666666666666668
yucky;adjectives;23.5
