definition;lexical_class;aoa
alto;adjectives;25
arrabbiato;adjectives;27
asciutto;adjectives;27
attento;adjectives;29
bagnato;adjectives;24
bello;adjectives;20
brutto;adjectives;21
buio;adjectives;22
buono;adjectives;22
caldo;adjectives;22
carino;adjectives;31
cattivo;adjectives;24
contento;adjectives;32
dolce;adjectives;27
duro;adjectives;28
felice;adjectives;32
finito;adjectives;26
forte;adjectives;28
freddo;adjectives;23
giallo;adjectives;25
grande;adjectives;23
malato;adjectives;28
morbido;adjectives;30
nero;adjectives;28
nuovo;adjectives;28
pesante;adjectives;28
piano;adjectives;26
piccolo;adjectives;23
pieno;adjectives;29
pulito;adjectives;25
rosso;adjectives;24
rotto;adjectives;21
sporco;adjectives;22
stanco;adjectives;26
triste;adjectives;33
vuoto;adjectives;28
